id_order;order_time;assign_time
11453191;01.08.2022 16:03:16;01.08.2022 16:06:28
11455385;01.08.2022 7:43:29;01.08.2022 7:44:27
11458079;01.08.2022 13:27:06;01.08.2022 13:31:46
11455245;01.08.2022 11:00:35;01.08.2022 11:03:13
11454170;02.08.2022 16:30:55;02.08.2022 16:33:00
11453931;01.08.2022 17:12:02;01.08.2022 17:17:34
11457345;01.08.2022 22:13:46;01.08.2022 22:15:34
11455442;02.08.2022 16:16:32;02.08.2022 16:19:14
11455996;02.08.2022 0:25:18;02.08.2022 0:26:12
11456777;01.08.2022 14:19:16;01.08.2022 14:21:47
11456565;02.08.2022 7:50:08;02.08.2022 7:52:41
11456396;01.08.2022 3:23:14;01.08.2022 3:24:42
11453747;01.08.2022 14:32:41;01.08.2022 14:35:54
11457377;02.08.2022 10:11:07;02.08.2022 10:16:12
11454826;02.08.2022 11:09:30;02.08.2022 11:11:23
11458743;01.08.2022 6:29:34;01.08.2022 6:32:40
11453997;01.08.2022 5:16:37;01.08.2022 5:19:30
11455460;02.08.2022 0:39:43;02.08.2022 0:42:41
11458965;02.08.2022 9:17:15;02.08.2022 9:37:49
11454436;01.08.2022 1:36:49;01.08.2022 1:40:16
11458220;02.08.2022 17:22:31;02.08.2022 17:24:19
11456679;02.08.2022 14:15:01;02.08.2022 14:18:21
11454736;01.08.2022 1:24:31;01.08.2022 1:27:41
11455631;02.08.2022 14:47:44;02.08.2022 14:51:50
11454633;02.08.2022 12:08:44;02.08.2022 12:09:56
11457569;01.08.2022 2:29:32;01.08.2022 2:32:38
11454024;02.08.2022 17:29:32;02.08.2022 17:32:21
11455246;02.08.2022 1:55:51;02.08.2022 1:59:02
11455093;01.08.2022 0:23:08;01.08.2022 0:24:41
11456822;02.08.2022 8:58:22;02.08.2022 8:59:22
11458951;01.08.2022 23:46:15;02.08.2022 0:06:49
11453612;01.08.2022 17:12:12;01.08.2022 17:14:35
11453558;02.08.2022 5:15:40;02.08.2022 5:18:26
11453981;02.08.2022 18:01:25;02.08.2022 18:05:09
11456461;01.08.2022 10:37:46;01.08.2022 10:40:44
11457169;02.08.2022 11:29:13;02.08.2022 11:30:14
11453199;02.08.2022 9:23:54;02.08.2022 9:27:16
11458939;01.08.2022 1:23:29;01.08.2022 1:44:03
11456466;02.08.2022 20:34:02;02.08.2022 20:35:40
11458673;01.08.2022 1:56:22;01.08.2022 1:58:53
11457182;02.08.2022 7:43:22;02.08.2022 7:44:40
11453565;01.08.2022 19:54:53;01.08.2022 19:56:41
11454559;02.08.2022 3:18:25;02.08.2022 3:20:55
11454621;01.08.2022 20:30:14;01.08.2022 20:32:16
11458462;02.08.2022 14:01:03;02.08.2022 14:03:06
11456922;01.08.2022 6:35:48;01.08.2022 6:38:26
11455967;01.08.2022 2:00:40;01.08.2022 2:02:00
11453265;02.08.2022 1:28:49;02.08.2022 1:32:09
11457756;02.08.2022 3:52:46;02.08.2022 3:54:14
11455406;01.08.2022 15:02:23;01.08.2022 15:04:29
11453884;02.08.2022 15:26:28;02.08.2022 15:30:49
11455162;02.08.2022 23:15:26;02.08.2022 23:17:45
11454909;02.08.2022 6:33:30;02.08.2022 6:35:57
11455248;02.08.2022 2:15:50;02.08.2022 2:19:03
11454252;01.08.2022 0:55:46;01.08.2022 0:56:48
11457069;01.08.2022 23:06:24;01.08.2022 23:08:40
11457850;02.08.2022 4:47:23;02.08.2022 4:50:27
11457339;02.08.2022 1:40:31;02.08.2022 1:43:11
11453676;02.08.2022 11:33:20;02.08.2022 11:34:20
11455410;01.08.2022 22:19:52;01.08.2022 22:21:50
11454883;02.08.2022 22:56:13;02.08.2022 22:57:14
11458987;01.08.2022 12:37:04;01.08.2022 12:57:38
11455394;02.08.2022 2:55:22;02.08.2022 2:58:26
11456238;02.08.2022 10:56:53;02.08.2022 10:58:57
11456236;01.08.2022 1:58:27;01.08.2022 1:58:39
11455376;01.08.2022 17:19:08;01.08.2022 17:20:08
11457107;02.08.2022 0:53:53;02.08.2022 0:57:04
11457843;02.08.2022 22:26:50;02.08.2022 22:29:46
11454246;02.08.2022 17:26:45;02.08.2022 17:29:17
11456118;01.08.2022 2:47:07;01.08.2022 2:50:49
11456637;01.08.2022 3:28:42;01.08.2022 3:30:54
11454395;02.08.2022 13:31:46;02.08.2022 13:36:15
11456125;01.08.2022 22:38:04;01.08.2022 22:40:14
11457202;02.08.2022 20:16:19;02.08.2022 20:21:03
11453933;01.08.2022 3:38:03;01.08.2022 3:41:36
11453921;01.08.2022 21:59:50;01.08.2022 22:02:28
11456497;02.08.2022 2:18:38;02.08.2022 2:21:53
11456480;02.08.2022 5:51:49;02.08.2022 5:53:00
11458141;01.08.2022 6:15:43;01.08.2022 6:18:51
11453818;01.08.2022 0:23:39;01.08.2022 0:26:11
11458026;01.08.2022 13:40:28;01.08.2022 13:43:25
11457928;01.08.2022 21:52:25;01.08.2022 21:56:17
11456185;01.08.2022 7:43:10;01.08.2022 7:45:49
11456422;02.08.2022 12:46:45;02.08.2022 12:48:19
11457683;01.08.2022 4:53:40;01.08.2022 4:54:58
11456557;02.08.2022 1:51:08;02.08.2022 1:54:19
11454581;02.08.2022 4:35:29;02.08.2022 4:37:13
11456875;02.08.2022 4:49:38;02.08.2022 4:53:15
11454277;01.08.2022 17:45:17;01.08.2022 17:47:06
11455869;01.08.2022 18:55:58;01.08.2022 18:57:44
11455471;02.08.2022 13:58:11;02.08.2022 14:00:15
11457111;02.08.2022 8:18:43;02.08.2022 8:21:46
11454259;01.08.2022 18:05:46;01.08.2022 18:11:05
11455673;02.08.2022 0:55:47;02.08.2022 0:58:38
11453497;01.08.2022 6:06:46;01.08.2022 6:08:50
11453581;02.08.2022 16:02:25;02.08.2022 16:05:30
11453262;01.08.2022 19:31:25;01.08.2022 19:32:30
11455541;01.08.2022 1:45:03;01.08.2022 1:49:55
11455207;02.08.2022 21:42:15;02.08.2022 21:46:23
11457931;02.08.2022 20:45:32;02.08.2022 20:47:01
11458641;02.08.2022 20:46:06;02.08.2022 20:51:26
11457631;02.08.2022 5:00:35;02.08.2022 5:03:38
11455318;02.08.2022 13:19:56;02.08.2022 13:21:12
11454418;01.08.2022 10:01:03;01.08.2022 10:02:39
11457570;01.08.2022 0:43:03;01.08.2022 0:46:01
11454289;02.08.2022 11:19:31;02.08.2022 11:22:29
11453667;01.08.2022 22:02:46;01.08.2022 22:03:18
11457432;02.08.2022 4:08:22;02.08.2022 4:11:42
11454448;02.08.2022 11:57:48;02.08.2022 12:00:28
11457298;02.08.2022 18:11:19;02.08.2022 18:11:54
11455785;02.08.2022 4:49:55;02.08.2022 4:52:00
11456647;01.08.2022 5:20:11;01.08.2022 5:21:48
11455436;02.08.2022 1:48:21;02.08.2022 1:50:35
11458216;01.08.2022 10:46:09;01.08.2022 10:46:13
